datetime,Android_Average_rating,ios_all_rating,ios_current_rating,ios_File_size,Android_File_size,Android_Rating_4,Android_Rating_5,Android_Rating_2,Android_Rating_3,Android_Total_rating,Android_Rating_1
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
1.47E+12,3.9,106508,4688,110,58,"165,956","726,597","71,521","117,754","1,281,802","199,974"
